record_id,text,subject,body,authorship,intent,class_label,generator,generator_family,model_name,source,scenario,difficulty,pair_id,cue_plan_id,prompt_id,batch_id,run_id,generation_date,generation_method,prompt_version,link_presence,urgency_level,authority_tone,attachment_reference,length_band,text_sha256,post_edit_applied,post_editor,post_edit_date,post_edit_reason,original_text_sha256
chatgpt_cloud_access_easy_01_GL,Subject: Collaboration permission check for staff attention initial review through the established workflow We are following up on shared workspace permissions and collaboration settings. The requested step is described plainly. The authorised purpose is to review the workspace access list and remove obsolete permissions. It can be handled during the next routine review. Use the normal internal process and compare the request with available information. The update supports ordinary coordination between the relevant groups. Questions should be raised through the same internal channel. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. The recorded outcome will be used only for the stated operational purpose. Your timely attention is appreciated.,Collaboration permission check for staff attention initial review through the established workflow,We are following up on shared workspace permissions and collaboration settings. The requested step is described plainly. The authorised purpose is to review the workspace access list and remove obsolete permissions. It can be handled during the next routine review. Use the normal internal process and compare the request with available information. The update supports ordinary coordination between the relevant groups. Questions should be raised through the same internal channel. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. The recorded outcome will be used only for the stated operational purpose. Your timely attention is appreciated.,ai,legitimate,GL,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,1.0,1.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,no,none,no,no,medium,da1e3d0485bfa1ab83469197dd30a608ba667e56c88f90cde2b33a43bb78cbd8,no,,,,
chatgpt_cloud_access_easy_01_GP,Subject: Collaboration permission check for staff attention initial review through an alternative review path The latest internal entry relates to shared workspace permissions and collaboration settings. The purpose is stated directly for clarity. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. There is no fixed response window. The pretext resembles ordinary work while redirecting the recipient to an unapproved step. Your response will help the team close the item cleanly. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. The recorded outcome will be used only for the stated operational purpose. Please retain this message with related correspondence.,Collaboration permission check for staff attention initial review through an alternative review path,The latest internal entry relates to shared workspace permissions and collaboration settings. The purpose is stated directly for clarity. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. There is no fixed response window. The pretext resembles ordinary work while redirecting the recipient to an unapproved step. Your response will help the team close the item cleanly. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. The recorded outcome will be used only for the stated operational purpose. Please retain this message with related correspondence.,ai,phishing,GP,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,1.0,1.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,no,none,no,no,medium,ee0c18cff00312b4049f6868321f26f2b5f9b5861502c38eb7ce811a20762e2f,no,,,,
chatgpt_cloud_access_easy_02_GL,Subject: Storage access notice for ordinary follow-up portal follow-up under the current procedure An update is available concerning shared workspace permissions and collaboration settings. The wording follows the usual professional format. The authorised purpose is to review the workspace access list and remove obsolete permissions. Please include it in the upcoming administrative review. The relevant entry is available through the internal portal at [SAFE_PORTAL_URL]. Handle the item through the usual organisational channel and preserve related correspondence. The note is intended to keep the shared record accurate. The notice was prepared to reduce duplicate follow-up across offices. The recorded outcome will be used only for the stated operational purpose. We appreciate your assistance with the review.,Storage access notice for ordinary follow-up portal follow-up under the current procedure,An update is available concerning shared workspace permissions and collaboration settings. The wording follows the usual professional format. The authorised purpose is to review the workspace access list and remove obsolete permissions. Please include it in the upcoming administrative review. The relevant entry is available through the internal portal at [SAFE_PORTAL_URL]. Handle the item through the usual organisational channel and preserve related correspondence. The note is intended to keep the shared record accurate. The notice was prepared to reduce duplicate follow-up across offices. The recorded outcome will be used only for the stated operational purpose. We appreciate your assistance with the review.,ai,legitimate,GL,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,2.0,2.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,yes,low,no,no,medium,d57a185e47783742ae1eebdba2176fa050b11796e7da338e68acde4b44402550,no,,,,
chatgpt_cloud_access_easy_02_GP,Subject: Storage access notice for ordinary follow-up portal follow-up under a newly presented process Please note a recent change connected with shared workspace permissions and collaboration settings. The requested step is described plainly. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. Please complete it within the next several working days. The pretext directs the recipient to [SAFE_PORTAL_URL] as though it were the expected internal route. The request is presented as routine although the claimed process is not authorised. The update supports ordinary coordination between the relevant groups. The recorded outcome will be used only for the stated operational purpose. Thank you for completing the appropriate next step.,Storage access notice for ordinary follow-up portal follow-up under a newly presented process,Please note a recent change connected with shared workspace permissions and collaboration settings. The requested step is described plainly. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. Please complete it within the next several working days. The pretext directs the recipient to [SAFE_PORTAL_URL] as though it were the expected internal route. The request is presented as routine although the claimed process is not authorised. The update supports ordinary coordination between the relevant groups. The recorded outcome will be used only for the stated operational purpose. Thank you for completing the appropriate next step.,ai,phishing,GP,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,2.0,2.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,yes,low,no,no,medium,b1838b7428ff8b306f72594d2391fab337c79a6d1a32f51ac5e5db8b1aee9daa,no,,,,
chatgpt_cloud_access_easy_03_GL,Subject: Workspace access review for routine action deadline note through the established workflow The current review cycle includes shared workspace permissions and collaboration settings. The authorised purpose is to review the workspace access list and remove obsolete permissions. Completion is requested by the stated internal deadline. Follow the established workflow and consult the responsible office if the context differs from existing records. The item should be reviewed against the most recent approved information. The entry includes the current status and expected next action. Your cooperation supports an orderly resolution.,Workspace access review for routine action deadline note through the established workflow,The current review cycle includes shared workspace permissions and collaboration settings. The authorised purpose is to review the workspace access list and remove obsolete permissions. Completion is requested by the stated internal deadline. Follow the established workflow and consult the responsible office if the context differs from existing records. The item should be reviewed against the most recent approved information. The entry includes the current status and expected next action. Your cooperation supports an orderly resolution.,ai,legitimate,GL,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,3.0,3.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,no,medium,no,no,short,56095d625feff3ec0d0099eb14cd89f44f56b7e971f5c70b95045225b9492395,no,,,,
chatgpt_cloud_access_easy_03_GP,Subject: Workspace access review for routine action deadline note through an alternative review path A pending item has been logged for shared workspace permissions and collaboration settings. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. Please respond within the present processing window. The message uses familiar administrative language although the action was not initiated by the responsible office. The entry includes the current status and expected next action. Please use the established process for questions.,Workspace access review for routine action deadline note through an alternative review path,A pending item has been logged for shared workspace permissions and collaboration settings. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. Please respond within the present processing window. The message uses familiar administrative language although the action was not initiated by the responsible office. The entry includes the current status and expected next action. Please use the established process for questions.,ai,phishing,GP,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,3.0,3.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,no,medium,no,no,short,251d1dba277bb377548c9f5bdf2c51f7454b578be0d3e091cb8bf95a80fd4dc4,no,,,,
chatgpt_cloud_access_easy_04_GL,Subject: Shared access update for current processing same-day action under the current procedure This note provides context on shared workspace permissions and collaboration settings. The authorised purpose is to review the workspace access list and remove obsolete permissions. Please complete the requested step today. The relevant entry is available through the internal portal at [SAFE_PORTAL_URL]. Use the normal internal process and compare the request with available information. Related records will remain unchanged until the response is reviewed. The relevant team will record the outcome after review.,Shared access update for current processing same-day action under the current procedure,This note provides context on shared workspace permissions and collaboration settings. The authorised purpose is to review the workspace access list and remove obsolete permissions. Please complete the requested step today. The relevant entry is available through the internal portal at [SAFE_PORTAL_URL]. Use the normal internal process and compare the request with available information. Related records will remain unchanged until the response is reviewed. The relevant team will record the outcome after review.,ai,legitimate,GL,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,4.0,4.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,yes,high,no,no,short,8aee0dd6ee3a2fdf0f7f3618861b93f8009347c57481b5bed52159a2d9aad818,no,,,,
chatgpt_cloud_access_easy_04_GP,Subject: Shared access update for current processing same-day action under a newly presented process The relevant office has issued an update about shared workspace permissions and collaboration settings. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. The item is due before the close of the business day. The pretext directs the recipient to [SAFE_PORTAL_URL] as though it were the expected internal route. The pretext resembles ordinary work while redirecting the recipient to an unapproved step. Thank you for your attention to this matter.,Shared access update for current processing same-day action under a newly presented process,The relevant office has issued an update about shared workspace permissions and collaboration settings. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. The item is due before the close of the business day. The pretext directs the recipient to [SAFE_PORTAL_URL] as though it were the expected internal route. The pretext resembles ordinary work while redirecting the recipient to an unapproved step. Thank you for your attention to this matter.,ai,phishing,GP,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,4.0,4.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,yes,high,no,no,short,fb4c038856f6d38caf4e4b8ab0bbb9e58a5c1525801814dd152fb0a2386d369a,no,,,,
chatgpt_cloud_access_easy_05_GL,"Subject: Collaboration permission check for staff attention supporting-file check through the established workflow This message concerns shared workspace permissions and collaboration settings. The wording follows the usual professional format. The authorised purpose is to review the workspace access list and remove obsolete permissions. Please include it in the upcoming administrative review. The supporting material is provided as [SAFE_ATTACHMENT] for comparison with the approved record. Handle the item through the usual organisational channel and preserve related correspondence. The note is intended to keep the shared record accurate. The responsible team will reconcile the response with the prior entry. Please avoid forwarding the notice outside the established workflow. A complete response should be concise and limited to the requested point. The update does not alter unrelated permissions, schedules, or approvals. Questions should be raised through the same internal channel. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. Thank you for handling this carefully.",Collaboration permission check for staff attention supporting-file check through the established workflow,"This message concerns shared workspace permissions and collaboration settings. The wording follows the usual professional format. The authorised purpose is to review the workspace access list and remove obsolete permissions. Please include it in the upcoming administrative review. The supporting material is provided as [SAFE_ATTACHMENT] for comparison with the approved record. Handle the item through the usual organisational channel and preserve related correspondence. The note is intended to keep the shared record accurate. The responsible team will reconcile the response with the prior entry. Please avoid forwarding the notice outside the established workflow. A complete response should be concise and limited to the requested point. The update does not alter unrelated permissions, schedules, or approvals. Questions should be raised through the same internal channel. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. Thank you for handling this carefully.",ai,legitimate,GL,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,5.0,5.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,no,low,no,yes,long,45f7eb41d3ed7b8ecb832693f6ef1e8f6708abdbe6244999646c88a2492fcc47,no,,,,
chatgpt_cloud_access_easy_05_GP,"Subject: Collaboration permission check for staff attention supporting-file check through an alternative review path A new item has been recorded regarding shared workspace permissions and collaboration settings. The requested step is described plainly. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. Please complete it within the next several working days. The message refers to [SAFE_ATTACHMENT] as supposed support for the unauthorised request. The request is presented as routine although the claimed process is not authorised. The update supports ordinary coordination between the relevant groups. Please avoid forwarding the notice outside the established workflow. A complete response should be concise and limited to the requested point. The update does not alter unrelated permissions, schedules, or approvals. Questions should be raised through the same internal channel. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. Thank you for helping keep the record accurate.",Collaboration permission check for staff attention supporting-file check through an alternative review path,"A new item has been recorded regarding shared workspace permissions and collaboration settings. The requested step is described plainly. The message asks the recipient to approve a newly claimed workspace connection that was not requested normally. Please complete it within the next several working days. The message refers to [SAFE_ATTACHMENT] as supposed support for the unauthorised request. The request is presented as routine although the claimed process is not authorised. The update supports ordinary coordination between the relevant groups. Please avoid forwarding the notice outside the established workflow. A complete response should be concise and limited to the requested point. The update does not alter unrelated permissions, schedules, or approvals. Questions should be raised through the same internal channel. The next processing step depends on whether the record can be confirmed. The notice was prepared to reduce duplicate follow-up across offices. Thank you for helping keep the record accurate.",ai,phishing,GP,chatgpt,OpenAI ChatGPT,GPT-5.6 Thinking,direct_manual_llm_generation,cloud_access,easy,5.0,5.0,,chatgpt__cloud_access__easy,chatgpt_manual_2026_07_22_run01,2026-07-22,manual_chat_interface,ISPD-LLM-DATA-v1.0,no,low,no,yes,long,4404d7d81b44393822578baea6b48041f51c1d4eb24f8bab009a071072d3b22c,no,,,,
